series_id,year,period,value,data_type,region,item,date
CUUR0000SA0,1998,M12,163.9,CPI (Unadjusted),National,All items,1998-12-01
CUUR0000SA0,1998,M11,164.0,CPI (Unadjusted),National,All items,1998-11-01
CUUR0000SA0,1998,M10,164.0,CPI (Unadjusted),National,All items,1998-10-01
CUUR0000SA0,1998,M09,163.6,CPI (Unadjusted),National,All items,1998-09-01
CUUR0000SA0,1998,M08,163.4,CPI (Unadjusted),National,All items,1998-08-01
CUUR0000SA0,1998,M07,163.2,CPI (Unadjusted),National,All items,1998-07-01
CUUR0000SA0,1998,M06,163.0,CPI (Unadjusted),National,All items,1998-06-01
CUUR0000SA0,1998,M05,162.8,CPI (Unadjusted),National,All items,1998-05-01
CUUR0000SA0,1998,M04,162.5,CPI (Unadjusted),National,All items,1998-04-01
CUUR0000SA0,1998,M03,162.2,CPI (Unadjusted),National,All items,1998-03-01
CUUR0000SA0,1998,M02,161.9,CPI (Unadjusted),National,All items,1998-02-01
CUUR0000SA0,1998,M01,161.6,CPI (Unadjusted),National,All items,1998-01-01
CUUR0000SA0,1997,M12,161.3,CPI (Unadjusted),National,All items,1997-12-01
CUUR0000SA0,1997,M11,161.5,CPI (Unadjusted),National,All items,1997-11-01
CUUR0000SA0,1997,M10,161.6,CPI (Unadjusted),National,All items,1997-10-01
CUUR0000SA0,1997,M09,161.2,CPI (Unadjusted),National,All items,1997-09-01
CUUR0000SA0,1997,M08,160.8,CPI (Unadjusted),National,All items,1997-08-01
CUUR0000SA0,1997,M07,160.5,CPI (Unadjusted),National,All items,1997-07-01
CUUR0000SA0,1997,M06,160.3,CPI (Unadjusted),National,All items,1997-06-01
CUUR0000SA0,1997,M05,160.1,CPI (Unadjusted),National,All items,1997-05-01
CUUR0000SA0,1997,M04,160.2,CPI (Unadjusted),National,All items,1997-04-01
CUUR0000SA0,1997,M03,160.0,CPI (Unadjusted),National,All items,1997-03-01
CUUR0000SA0,1997,M02,159.6,CPI (Unadjusted),National,All items,1997-02-01
CUUR0000SA0,1997,M01,159.1,CPI (Unadjusted),National,All items,1997-01-01
CUUR0000SA0,1996,M12,158.6,CPI (Unadjusted),National,All items,1996-12-01
CUUR0000SA0,1996,M11,158.6,CPI (Unadjusted),National,All items,1996-11-01
CUUR0000SA0,1996,M10,158.3,CPI (Unadjusted),National,All items,1996-10-01
CUUR0000SA0,1996,M09,157.8,CPI (Unadjusted),National,All items,1996-09-01
CUUR0000SA0,1996,M08,157.3,CPI (Unadjusted),National,All items,1996-08-01
CUUR0000SA0,1996,M07,157.0,CPI (Unadjusted),National,All items,1996-07-01
CUUR0000SA0,1996,M06,156.7,CPI (Unadjusted),National,All items,1996-06-01
CUUR0000SA0,1996,M05,156.6,CPI (Unadjusted),National,All items,1996-05-01
CUUR0000SA0,1996,M04,156.3,CPI (Unadjusted),National,All items,1996-04-01
CUUR0000SA0,1996,M03,155.7,CPI (Unadjusted),National,All items,1996-03-01
CUUR0000SA0,1996,M02,154.9,CPI (Unadjusted),National,All items,1996-02-01
CUUR0000SA0,1996,M01,154.4,CPI (Unadjusted),National,All items,1996-01-01
CUUR0000SA0,1995,M12,153.5,CPI (Unadjusted),National,All items,1995-12-01
CUUR0000SA0,1995,M11,153.6,CPI (Unadjusted),National,All items,1995-11-01
CUUR0000SA0,1995,M10,153.7,CPI (Unadjusted),National,All items,1995-10-01
CUUR0000SA0,1995,M09,153.2,CPI (Unadjusted),National,All items,1995-09-01
CUUR0000SA0,1995,M08,152.9,CPI (Unadjusted),National,All items,1995-08-01
CUUR0000SA0,1995,M07,152.5,CPI (Unadjusted),National,All items,1995-07-01
CUUR0000SA0,1995,M06,152.5,CPI (Unadjusted),National,All items,1995-06-01
CUUR0000SA0,1995,M05,152.2,CPI (Unadjusted),National,All items,1995-05-01
CUUR0000SA0,1995,M04,151.9,CPI (Unadjusted),National,All items,1995-04-01
CUUR0000SA0,1995,M03,151.4,CPI (Unadjusted),National,All items,1995-03-01
CUUR0000SA0,1995,M02,150.9,CPI (Unadjusted),National,All items,1995-02-01
CUUR0000SA0,1995,M01,150.3,CPI (Unadjusted),National,All items,1995-01-01
CUUR0000SA0,1994,M12,149.7,CPI (Unadjusted),National,All items,1994-12-01
CUUR0000SA0,1994,M11,149.7,CPI (Unadjusted),National,All items,1994-11-01
CUUR0000SA0,1994,M10,149.5,CPI (Unadjusted),National,All items,1994-10-01
CUUR0000SA0,1994,M09,149.4,CPI (Unadjusted),National,All items,1994-09-01
CUUR0000SA0,1994,M08,149.0,CPI (Unadjusted),National,All items,1994-08-01
CUUR0000SA0,1994,M07,148.4,CPI (Unadjusted),National,All items,1994-07-01
CUUR0000SA0,1994,M06,148.0,CPI (Unadjusted),National,All items,1994-06-01
CUUR0000SA0,1994,M05,147.5,CPI (Unadjusted),National,All items,1994-05-01
