series_id,year,period,value,data_type,region,item,date
CUUR0000SA0,2003,M12,184.3,CPI (Unadjusted),National,All items,2003-12-01
CUUR0000SA0,2003,M11,184.5,CPI (Unadjusted),National,All items,2003-11-01
CUUR0000SA0,2003,M10,185.0,CPI (Unadjusted),National,All items,2003-10-01
CUUR0000SA0,2003,M09,185.2,CPI (Unadjusted),National,All items,2003-09-01
CUUR0000SA0,2003,M08,184.6,CPI (Unadjusted),National,All items,2003-08-01
CUUR0000SA0,2003,M07,183.9,CPI (Unadjusted),National,All items,2003-07-01
CUUR0000SA0,2003,M06,183.7,CPI (Unadjusted),National,All items,2003-06-01
CUUR0000SA0,2003,M05,183.5,CPI (Unadjusted),National,All items,2003-05-01
CUUR0000SA0,2003,M04,183.8,CPI (Unadjusted),National,All items,2003-04-01
CUUR0000SA0,2003,M03,184.2,CPI (Unadjusted),National,All items,2003-03-01
CUUR0000SA0,2003,M02,183.1,CPI (Unadjusted),National,All items,2003-02-01
CUUR0000SA0,2003,M01,181.7,CPI (Unadjusted),National,All items,2003-01-01
CUUR0000SA0,2002,M12,180.9,CPI (Unadjusted),National,All items,2002-12-01
CUUR0000SA0,2002,M11,181.3,CPI (Unadjusted),National,All items,2002-11-01
CUUR0000SA0,2002,M10,181.3,CPI (Unadjusted),National,All items,2002-10-01
CUUR0000SA0,2002,M09,181.0,CPI (Unadjusted),National,All items,2002-09-01
CUUR0000SA0,2002,M08,180.7,CPI (Unadjusted),National,All items,2002-08-01
CUUR0000SA0,2002,M07,180.1,CPI (Unadjusted),National,All items,2002-07-01
CUUR0000SA0,2002,M06,179.9,CPI (Unadjusted),National,All items,2002-06-01
CUUR0000SA0,2002,M05,179.8,CPI (Unadjusted),National,All items,2002-05-01
CUUR0000SA0,2002,M04,179.8,CPI (Unadjusted),National,All items,2002-04-01
CUUR0000SA0,2002,M03,178.8,CPI (Unadjusted),National,All items,2002-03-01
CUUR0000SA0,2002,M02,177.8,CPI (Unadjusted),National,All items,2002-02-01
CUUR0000SA0,2002,M01,177.1,CPI (Unadjusted),National,All items,2002-01-01
CUUR0000SA0,2001,M12,176.7,CPI (Unadjusted),National,All items,2001-12-01
CUUR0000SA0,2001,M11,177.4,CPI (Unadjusted),National,All items,2001-11-01
