series_id,year,period,value,data_type,description,percentile,race,date
LEU0252911200,2003,Q04,303.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All,2003-10-01
LEU0252911200,2003,Q03,300.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All,2003-07-01
LEU0252911200,2003,Q02,301.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All,2003-04-01
LEU0252911200,2003,Q01,300.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All,2003-01-01
LEU0252911200,2002,Q04,298.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All,2002-10-01
LEU0252911200,2002,Q03,293.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All,2002-07-01
LEU0252911200,2002,Q02,296.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All,2002-04-01
LEU0252911200,2002,Q01,295.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All,2002-01-01
LEU0252911200,2001,Q04,295.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All,2001-10-01
LEU0252911200,2001,Q03,289.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All,2001-07-01
LEU0252911200,2001,Q02,288.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All,2001-04-01
LEU0252911200,2001,Q01,287.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All,2001-01-01
LEU0252911200,2000,Q04,285.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All,2000-10-01
LEU0252911200,2000,Q03,278.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All,2000-07-01
LEU0252911200,2000,Q02,279.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All,2000-04-01
LEU0252911200,2000,Q01,281.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first decile), Employed full time, Wage and salary workers",10,All,2000-01-01
LEU0252911300,2003,Q04,416.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first quartile), Employed full time, Wage and salary workers",25,All,2003-10-01
LEU0252911300,2003,Q03,411.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first quartile), Employed full time, Wage and salary workers",25,All,2003-07-01
LEU0252911300,2003,Q02,411.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first quartile), Employed full time, Wage and salary workers",25,All,2003-04-01
LEU0252911300,2003,Q01,414.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first quartile), Employed full time, Wage and salary workers",25,All,2003-01-01
LEU0252911300,2002,Q04,410.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first quartile), Employed full time, Wage and salary workers",25,All,2002-10-01
LEU0252911300,2002,Q03,399.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first quartile), Employed full time, Wage and salary workers",25,All,2002-07-01
LEU0252911300,2002,Q02,403.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first quartile), Employed full time, Wage and salary workers",25,All,2002-04-01
LEU0252911300,2002,Q01,406.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first quartile), Employed full time, Wage and salary workers",25,All,2002-01-01
LEU0252911300,2001,Q04,401.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first quartile), Employed full time, Wage and salary workers",25,All,2001-10-01
LEU0252911300,2001,Q03,394.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first quartile), Employed full time, Wage and salary workers",25,All,2001-07-01
LEU0252911300,2001,Q02,396.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first quartile), Employed full time, Wage and salary workers",25,All,2001-04-01
LEU0252911300,2001,Q01,393.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first quartile), Employed full time, Wage and salary workers",25,All,2001-01-01
LEU0252911300,2000,Q04,385.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first quartile), Employed full time, Wage and salary workers",25,All,2000-10-01
LEU0252911300,2000,Q03,376.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first quartile), Employed full time, Wage and salary workers",25,All,2000-07-01
LEU0252911300,2000,Q02,376.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first quartile), Employed full time, Wage and salary workers",25,All,2000-04-01
LEU0252911300,2000,Q01,381.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (first quartile), Employed full time, Wage and salary workers",25,All,2000-01-01
LEU0252881500,2003,Q04,625.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All,2003-10-01
LEU0252881500,2003,Q03,618.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All,2003-07-01
LEU0252881500,2003,Q02,616.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All,2003-04-01
LEU0252881500,2003,Q01,620.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All,2003-01-01
LEU0252881500,2002,Q04,613.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All,2002-10-01
LEU0252881500,2002,Q03,603.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All,2002-07-01
LEU0252881500,2002,Q02,605.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All,2002-04-01
LEU0252881500,2002,Q01,611.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All,2002-01-01
LEU0252881500,2001,Q04,606.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All,2001-10-01
LEU0252881500,2001,Q03,596.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All,2001-07-01
LEU0252881500,2001,Q02,592.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All,2001-04-01
LEU0252881500,2001,Q01,589.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All,2001-01-01
LEU0252881500,2000,Q04,585.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All,2000-10-01
LEU0252881500,2000,Q03,574.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All,2000-07-01
LEU0252881500,2000,Q02,569.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All,2000-04-01
LEU0252881500,2000,Q01,573.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All,2000-01-01
LEU0252881500,1999,Q04,568.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All,1999-10-01
LEU0252881500,1999,Q03,546.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All,1999-07-01
LEU0252881500,1999,Q02,543.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All,1999-04-01
LEU0252881500,1999,Q01,538.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All,1999-01-01
LEU0252881500,1998,Q04,541.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All,1998-10-01
LEU0252881500,1998,Q03,520.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All,1998-07-01
LEU0252881500,1998,Q02,515.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All,1998-04-01
LEU0252881500,1998,Q01,521.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All,1998-01-01
LEU0252881500,1997,Q04,511.0,CPS Weekly Nominal Earnings,"(unadj)- Usual weekly earnings (second quartile), Employed full time, Wage and salary workers",50,All,1997-10-01
